,latitude,longitude
162,40.75977,-73.98981
163,40.75977,-73.98981
164,40.75977,-73.98981
165,40.75977,-73.98981
166,40.75977,-73.98981
167,40.75977,-73.98981
168,40.75977,-73.98981
169,40.75977,-73.98981
170,40.75977,-73.98981
171,40.75977,-73.98981
172,40.75977,-73.98981
173,40.75977,-73.98981
174,40.75977,-73.98981
175,40.75977,-73.98981
176,40.75977,-73.98981
177,40.75977,-73.98981
178,40.75977,-73.98981
179,40.75977,-73.98981
180,40.75977,-73.98981
181,40.75977,-73.98981
182,40.75977,-73.98981
183,40.75977,-73.98981
184,40.75977,-73.98981
185,40.75977,-73.98981
186,40.75977,-73.98981
187,40.75977,-73.98981
188,40.75977,-73.98981
189,40.75977,-73.98981
190,40.75977,-73.98981
191,40.75977,-73.98981
192,40.75977,-73.98981
193,40.75977,-73.98981
194,40.75977,-73.98981
195,40.75977,-73.98981
196,40.75977,-73.98981
197,40.75977,-73.98981
198,40.75977,-73.98981
199,40.75977,-73.98981
200,40.75977,-73.98981
201,40.75977,-73.98981
202,40.75977,-73.98981
203,40.75977,-73.98981
204,40.75977,-73.98981
205,40.75977,-73.98981
206,40.75977,-73.98981
207,40.75977,-73.98981
208,40.75977,-73.98981
209,40.75977,-73.98981
210,40.75977,-73.98981
211,40.75977,-73.98981
212,40.75977,-73.98981
213,40.75977,-73.98981
214,40.75977,-73.98981
215,40.75977,-73.98981
216,40.75977,-73.98981
217,40.75977,-73.98981
218,40.75977,-73.98981
219,40.75977,-73.98981
220,40.75977,-73.98981
221,40.75977,-73.98981
222,40.75977,-73.98981
223,40.75977,-73.98981
224,40.75977,-73.98981
225,40.75977,-73.98981
226,40.75977,-73.98981
227,40.75977,-73.98981
228,40.75977,-73.98981
229,40.75977,-73.98981
230,40.75977,-73.98981
231,40.75977,-73.98981
232,40.75977,-73.98981
233,40.75977,-73.98981
234,40.75977,-73.98981
235,40.75977,-73.98981
236,40.75977,-73.98981
237,40.75977,-73.98981
238,40.75977,-73.98981
239,40.75977,-73.98981
240,40.75977,-73.98981
241,40.75977,-73.98981
242,40.75977,-73.98981
243,40.75977,-73.98981
244,40.75977,-73.98981
245,40.75977,-73.98981
246,40.75977,-73.98981
247,40.75977,-73.98981
248,40.75977,-73.98981
249,40.75977,-73.98981
250,40.75977,-73.98981
251,40.75977,-73.98981
252,40.75977,-73.98981
253,40.75977,-73.98981
254,40.75977,-73.98981
255,40.75977,-73.98981
256,40.75977,-73.98981
257,40.75977,-73.98981
258,40.75977,-73.98981
259,40.75977,-73.98981
260,40.75977,-73.98981
261,40.75977,-73.98981
262,40.75977,-73.98981
263,40.75977,-73.98981
